Experiment,Ages,Gender
1,61,m
1,54,m
1,38,m
1,33,f
1,32,m
1,32,m
1,31,f
1,29,f
1,29,f
1,25,f
1,24,f
1,24,f
1,24,f
1,23,m
1,23,m
1,23,m
1,23,m
1,22,f
1,22,f
1,22,m
1,21,f
1,21,f
1,20,f
1,19,f
1,19,m
1,18,m
2,43,f
2,40,f
2,34,m
2,34,m
2,24,f
2,24,m
2,24,f
2,23,m
2,23,f
2,22,f
2,22,m
2,22,m
2,22,f
2,22,f
2,21,m
2,21,f
2,21,f
2,21,f
2,21,f
2,21,f
2,20,m
2,19,f
2,19,f
2,19,f
2,19,f
2,18,f
3,28,f
3,56,m
3,55,m
3,54,f
3,52,f
3,43,f
3,39,m
3,33,m
3,31,f
3,31,f
3,30,f
3,29,f
3,29,f
3,29,m
3,27,f
3,26,m
3,25,f
3,25,m
3,24,m
3,24,m
3,24,m
3,23,m
3,22,f
3,22,f
3,21,f
3,21,m
3,20,m
3,19,f
3,19,f
3,18,f
4,58,m
4,56,f
4,54,m
4,52,f
4,48,m
4,36,f
4,35,m
4,32,f
4,30,f
4,29,f
4,28,f
4,28,f
4,27,m
4,26,m
4,26,f
4,25,f
4,25,f
4,24,m
4,24,f
4,24,f
4,24,m
4,24,f
4,23,m
4,23,f
4,22,f
4,22,m
4,22,m
4,22,f
5,51,f
5,50,f
5,41,m
5,37,m
5,34,m
5,33,m
5,32,f
5,28,f
5,27,f
5,26,m
5,25,f
5,25,m
5,25,m
5,24,f
5,24,f
5,24,f
5,23,f
5,23,m
5,23,f
5,22,f
5,22,m
5,22,f
5,22,f
5,22,f
5,21,f
5,21,f
5,20,f
5,19,f
6,58,m
6,53,m
6,50,m
6,42,m
6,32,f
6,32,f
6,32,f
6,31,f
6,31,m
6,31,m
6,30,m
6,29,f
6,27,f
6,26,f
6,25,f
6,25,f
6,25,f
6,24,f
6,24,f
6,24,m
6,23,m
6,23,m
6,23,m
6,23,f
6,22,m
6,21,m
6,21,f
6,18,f
7,74,m
7,66,f
7,59,f
7,53,f
7,50,f
7,47,f
7,36,m
7,36,f
7,33,f
7,30,f
7,29,f
7,28,f
7,27,m
7,27,f
7,26,f
7,25,f
7,24,f
7,23,m
7,23,f
7,23,m
7,23,f
7,23,m
7,22,m
7,22,f
7,22,m
7,22,f
7,22,f
8,18,f
8,68,m
8,58,f
8,56,f
8,50,f
8,42,f
8,38,f
8,38,f
8,35,f
8,34,m
8,32,m
8,32,m
8,31,f
8,29,f
8,28,f
8,26,m
8,24,f
8,24,f
8,23,f
8,23,f
8,23,f
8,23,f
8,22,f
8,22,m
8,22,f
8,22,f
8,22,f
9,58,f
9,47,f
9,44,m
9,43,m
9,41,f
9,41,f
9,38,m
9,37,m
9,36,f
9,33,f
9,33,f
9,31,f
9,27,m
9,27,f
9,26,f
9,26,f
9,25,f
9,23,f
9,23,f
9,23,f
9,23,m
9,23,f
9,22,f
9,22,f
9,22,m
9,22,f
9,22,f
9,22,m
9,21,m
9,21,f
9,21,f
10,56,f
10,55,f
10,48,f
10,42,m
10,39,f
10,38,f
10,36,f
10,32,f
10,31,f
10,31,m
10,30,x
10,28,f
10,28,m
10,26,m
10,25,f
10,25,f
10,24,f
10,24,f
10,24,f
10,24,f
10,24,f
10,23,f
10,22,m
10,22,f
10,22,f
10,21,f
10,21,f
10,21,m
10,21,f
10,21,m
10,21,m
11,61,m
11,48,f
11,45,f
11,43,f
11,34,m
11,34,f
11,33,f
11,33,m
11,31,f
11,31,m
11,31,f
11,30,f
11,30,f
11,29,f
11,28,f
11,27,m
11,26,f
11,25,m
11,25,f
11,25,f
11,24,f
11,23,f
11,23,f
11,23,f
11,22,f
11,22,m
11,22,f
11,21,m
11,21,m
11,21,m
11,20,f
12,57,m
12,48,f
12,36,f
12,34,m
12,32,m
12,28,m
12,28,f
12,27,m
12,26,m
12,25,m
12,25,f
12,24,f
12,24,f
12,24,f
12,23,f
12,23,m
12,23,f
12,22,m
12,22,f
12,22,f
12,20,f
13,50,f
13,49,m
13,48,m
13,42,m
13,36,f
13,35,f
13,34,f
13,33,f
13,32,f
13,28,f
13,27,m
13,26,f
13,26,f
13,25,m
13,25,f
13,25,f
13,25,f
13,25,m
13,25,f
13,25,f
13,24,m
13,24,m
13,24,m
13,24,m
13,24,f
13,23,f
13,23,f
13,22,f
13,22,f
13,21,m
13,18,m
14,69,m
14,49,m
14,34,f
14,34,m
14,34,f
14,34,f
14,33,f
14,30,m
14,29,f
14,28,f
14,28,m
14,27,f
14,26,f
14,24,f
14,24,m
14,24,f
14,23,f
14,23,f
14,23,f
14,23,m
14,23,f
14,22,m
14,22,m
14,22,f
14,22,f
14,22,m
14,21,f
14,21,m
14,21,f
15,53,f
15,47,m
15,45,f
15,41,f
15,37,m
15,35,f
15,35,m
15,27,f
15,27,m
15,26,m
15,26,f
15,25,f
15,25,m
15,25,f
15,25,f
15,25,f
15,24,m
15,24,f
15,24,m
15,23,f
15,23,m
15,23,m
15,23,f
15,22,f
15,22,f
15,22,f
15,22,m
15,21,f
15,21,f
15,20,f
15,19,m
16,54,f
16,49,f
16,35,m
16,32,m
16,29,f
16,29,f
16,27,f
16,27,m
16,27,f
16,26,m
16,26,m
16,26,f
16,25,m
16,25,f
16,25,f
16,24,m
16,24,f
16,24,m
16,24,m
16,24,m
16,23,f
16,23,f
16,22,f
16,22,m
16,22,m
16,22,f
16,22,f
16,22,m
16,20,f
16,19,f
17,60,f
17,55,m
17,43,f
17,40,m
17,36,f
17,34,f
17,34,f
17,33,f
17,32,f
17,32,m
17,31,f
17,31,m
17,27,f
17,25,f
17,25,f
17,25,m
17,25,m
17,25,m
17,25,f
17,24,m
17,24,m
17,23,f
17,23,f
17,22,f
17,21,f
17,21,m
17,20,f
17,19,f
17,18,m
17,18,f
18,63,f
18,59,f
18,57,f
18,42,m
18,39,f
18,37,f
18,36,m
18,33,m
18,32,f
18,31,f
18,31,m
18,31,m
18,28,f
18,25,f
18,25,f
18,25,m
18,24,m
18,24,f
18,24,f
18,24,x
18,24,f
18,24,m
18,24,f
18,22,f
18,21,f
18,21,f
18,20,f
19,60,m
19,51,m
19,43,f
19,40,m
19,39,f
19,38,m
19,37,f
19,37,f
19,37,f
19,35,f
19,34,f
19,31,m
19,30,m
19,28,m
19,28,f
19,26,f
19,25,m
19,23,f
19,23,f
19,23,m
19,23,m
19,23,m
19,22,f
19,22,m
19,22,m
19,22,f
19,22,f
19,21,m
19,20,f
19,19,f
20,68,m
20,68,f
20,63,m
20,62,m
20,57,m
20,54,f
20,53,f
20,52,f
20,51,m
20,48,f
20,47,f
20,46,f
20,46,f
20,40,f
20,39,m
20,37,f
20,33,f
20,32,f
20,31,m
20,31,f
20,28,f
20,28,f
20,28,f
20,28,m
20,27,m
20,19,m
21,65,f
21,61,f
21,59,f
21,57,f
21,56,f
21,56,m
21,56,f
21,55,f
21,51,f
21,50,f
21,48,m
21,48,f
21,48,m
21,47,f
21,44,f
21,43,f
21,41,f
21,41,f
21,40,m
21,40,m
21,39,f
21,34,f
21,29,f
21,28,m
21,27,f
21,26,f
21,23,f
21,22,m